date_str,cota_m
1971-04-12,2.0700000000000003
1971-04-13,2.0866666666666664
1971-04-14,2.14
1971-04-15,2.12
1971-04-16,2.12
1971-04-17,2.12
1971-04-18,2.14
1971-04-19,2.1366666666666667
1971-04-20,2.15
1971-04-21,2.14
1971-04-22,2.1633333333333336
1971-04-23,2.1333333333333333
1971-04-24,2.1199999999999997
1971-04-25,2.106666666666667
1971-04-26,2.096666666666667
1971-04-27,2.0833333333333335
1971-04-28,2.066666666666667
1971-04-29,2.0533333333333332
1971-04-30,2.026666666666667
1971-05-01,2.0033333333333334
1971-05-02,1.9833333333333334
1971-05-03,1.99
1971-05-04,1.9833333333333334
1971-05-05,2.0
1971-05-06,2.03
1971-05-07,2.0733333333333337
1971-05-08,2.11
1971-05-09,2.1633333333333336
1971-05-10,2.183333333333333
1971-05-11,2.18
1971-05-12,2.146666666666667
1971-05-13,2.0900000000000003
1971-05-14,2.0500000000000003
1971-05-15,2.0033333333333334
1971-05-16,1.9966666666666668
1971-05-17,1.9866666666666666
1971-05-18,1.9666666666666668
1971-05-19,1.9566666666666668
1971-05-20,1.9400000000000002
1971-05-21,1.9233333333333331
1971-05-22,1.8933333333333333
1971-05-23,1.8533333333333335
1971-05-24,1.83
1971-05-25,1.7966666666666669
1971-05-26,1.7566666666666668
1971-05-27,1.7433333333333334
1971-05-28,1.7133333333333336
1971-05-29,1.7100000000000002
1971-05-30,1.71
1971-05-31,1.7066666666666668
1971-06-01,1.6833333333333333
1971-06-02,1.6933333333333334
1971-06-03,1.7
1971-06-04,1.6866666666666665
1971-06-05,1.6600000000000001
1971-06-06,1.6233333333333333
1971-06-07,1.5999999999999999
1971-06-08,1.5733333333333335
1971-06-09,1.5466666666666666
1971-06-10,1.53
1971-06-11,1.5166666666666666
1971-06-12,1.51
1971-06-13,1.5033333333333332
1971-06-14,1.4966666666666668
1971-06-15,1.4866666666666666
1971-06-16,1.4833333333333334
1971-06-17,1.45
1971-06-18,1.4633333333333332
1971-06-19,1.45
1971-06-20,1.4466666666666665
1971-06-21,1.4433333333333334
1971-06-22,1.4366666666666668
1971-06-23,1.4066666666666665
1971-06-24,1.4066666666666665
1971-06-25,1.39
1971-06-26,1.3766666666666667
1971-06-27,1.36
1971-06-28,1.3466666666666667
1971-06-29,1.3299999999999998
1971-06-30,1.31
1971-07-01,1.2966666666666666
1971-07-02,1.2866666666666666
1971-07-03,1.2666666666666666
1971-07-04,1.27
1971-07-05,1.2766666666666666
1971-07-06,1.3
1971-07-07,1.3233333333333333
1971-07-08,1.3366666666666667
1971-07-09,1.3333333333333333
1971-07-10,1.3166666666666667
1971-07-11,1.3033333333333335
1971-07-12,1.2633333333333334
1971-07-13,1.2333333333333334
1971-07-14,1.2
1971-07-15,1.18
1971-07-16,1.1766666666666667
1971-07-17,1.1500000000000001
1971-07-18,1.1333333333333333
1971-07-19,1.1199999999999999
1971-07-20,1.11
1971-07-21,1.0933333333333333
1971-07-22,1.07
1971-07-23,1.0533333333333332
1971-07-24,1.0366666666666666
1971-07-25,1.0133333333333334
1971-07-26,1.0033333333333332
1971-07-27,0.9966666666666667
1971-07-28,0.9966666666666667
1971-07-29,0.9900000000000001
1971-07-30,0.9833333333333334
1971-07-31,0.9833333333333334
1971-08-01,1.0066666666666666
1971-08-02,1.0133333333333334
1971-08-03,1.0233333333333332
1971-08-04,1.0166666666666666
1971-08-05,0.9866666666666667
1971-08-06,0.9500000000000001
1971-08-07,0.9333333333333332
